gene,mean_rpkm,median_rpkm,n_mutated_samples,mut_freq,n_altered,cna_dir,rna_dir,concordance,concordant,expressed,frac_outlier,transcriptomic,cna_burden,genomic,score
TRAPPC10,14.778700985221676,12.3523,0,0.0,47.0,1.0212765957446808,0.5175382978723406,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.30379746835443033,0.7393879357585466,0.973925350220687
EVI2A,16.468631527093592,14.0659,1,0.006666666666666667,30.0,0.5333333333333333,0.07842213541666666,buffered,False,True,0.06896551724137931,0.06896551724137931,0.10126582278481013,0.8956287147493993,0.9738533870658224
NUDCD1,2.244145320197044,1.7503,2,0.013333333333333334,23.0,0.4782608695652174,-0.008922383252818042,buffered,False,True,0.06896551724137931,0.06896551724137931,0.06962025316455696,0.8546347426548075,0.972006332757628
BCL11B,2.807837438423645,1.2555,0,0.0,34.0,0.8235294117647058,-0.07263771347248578,buffered,False,True,0.08374384236453201,0.08374384236453201,0.17721518987341772,0.7294503224718627,0.9718384187296105
TRIM66,1.733359113300492,1.2823,2,0.013333333333333334,16.0,0.5,0.16764586267605636,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.05063291139240506,0.7908253593558994,0.969559585492228
LTB,8.440412499999997,4.489475,0,0.0,29.0,1.0689655172413792,0.4277356054530874,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.1962025316455696,0.734392783374784,0.9694876223373633
CLIC1,27.566388740323728,24.39195714285714,0,0.0,29.0,1.0689655172413792,0.5070152632985832,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.1962025316455696,0.734392783374784,0.9694876223373633
RBM23,10.18027339901478,9.0781,0,0.0,32.0,0.875,0.3991429563492063,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.17721518987341772,0.7294503224718627,0.9689838802533104
REM2,7.170898029556645,5.302,0,0.0,32.0,0.875,0.31659454365079365,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.17721518987341772,0.7294503224718627,0.9689838802533104
MIR155,8.703447783251233,5.7378,0,0.0,53.0,1.1132075471698113,0.2514830188679245,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.37341772151898733,0.7426231926822071,0.9670408750719632
IFNAR2,8.914046798029563,7.5207,0,0.0,53.0,1.0943396226415094,0.4515236298292903,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.3670886075949367,0.7422016608354761,0.9665851084244866
PHF1,7.85621904761905,7.0788,0,0.0,27.0,1.0,0.3329890019790785,concordant_up,True,True,0.08374384236453201,0.08374384236453201,0.17088607594936708,0.7250136997850187,0.9662732680867396
ALKBH1,5.242282758620691,4.3869,0,0.0,29.0,0.9310344827586207,0.48874137931034495,concordant_up,True,True,0.08374384236453201,0.08374384236453201,0.17088607594936708,0.7250136997850187,0.9662732680867396
STK4,13.21385566502464,11.0263,1,0.006666666666666667,21.0,-0.2857142857142857,0.03915238095238099,buffered,False,True,0.07881773399014778,0.07881773399014778,0.0379746835443038,0.7264574463600725,0.965913452312416
